Family,Species,Author,Information,Occurrence,"Common names",Abundance,"Max. Length",Maturity,Remark,Picture
Tetraodontidae,"Torquigener tuberculiferus","(Ogilby, 1912)"," M",native,,,"9.50 cm SL male/unsexed ",,"From Bali Strait to Timor. Museum: NMNZ P.15093 (TGT1335).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Totub_u0.jpg"", ""Open image"")"
Tetraodontidae,"Tylerius spinosissimus","(Regan, 1908)"," M",native,,,"12.00 cm TL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tyspi_u0.jpg"", ""Open image"")"
Tetrarogidae,"Ablabys macracanthus","(Bleeker, 1852)"," M",native," Spiny leaf-fish (English)",,"20.00 cm TL male/unsexed ",,"Type locality, Ceram (Ref. 48635). Recorded from Bali, Maumere Bay and Togean and Banggai Islands; with an Indonesian distribution from Flores to Sumatra (Ref. 47567). Also Ref. 90102.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Abmac_u1.jpg"", ""Open image"")"
Tetrarogidae,"Ablabys taenianotus","(Cuvier, 1829)"," M",native," Ikan sampah (Malay), Cockatoo leaf-fish (English), Roque fish (English)",,"15.00 cm TL male/unsexed ",,"Recorded from Bali, Maumere Bay and Manado and vicinity; with an Indonesian distribution from Papua to E. Kalimantan (Ref. 47567). Also Ref. 48635.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Abtae_u1.jpg"", ""Open image"")"
Tetrarogidae,"Cottapistus cottoides","(Linnaeus, 1758)"," M",native,,,"9.20 cm SL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: UMMZ 212292 (TGT3245). Also Ref. 39597.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cocot_u1.jpg"", ""Open image"")"
Tetrarogidae,"Liocranium pleurostigma","(Weber, 1913)"," M",native,,,"14.00 cm TL male/unsexed ",,"Collected from eastern New Guinea, between Misol and Salawatti (Ref. 77064). West Papua (Ref. 90102).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Liple_u0.jpg"", ""Open image"")"
Tetrarogidae,"Neocentropogon aeglefinus","(Weber, 1913)"," M",native,,,"9.50 cm SL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: ANSP 152034 (TGT3144).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Neaeg_u0.jpg"", ""Open image"")"
Tetrarogidae,"Neovespicula depressifrons","(Richardson, 1848)"," Fr, Br, M",native,,,"10.00 cm TL male/unsexed ",,"Sumatra, Bali, Sulawesi, Moluccas, and Irian Jaya. ","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nedep_u0.jpg"", ""Open image"")"
Tetrarogidae,"Paracentropogon longispinis","(Cuvier, 1829)"," M",native," Long-spined waspfish (English)",,"13.00 cm TL male/unsexed ",,"Ranges from Bali Strait to Timor Sea (Ref. 5978). Recorded from Manado and vicinity; with an Indonesian distribution from Moluccas to Sumatra (Ref. 47567). Museum: ANSP 153167 (TGT2119) (Ref. 5978). Also Ref. 48635, 90102.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Palon_ud.jpg"", ""Open image"")"
Tetrarogidae,"Paracentropogon zonatus","(Weber, 1913)"," M",native,,,"5.20 cm SL male/unsexed ",,"Raja Ampat Islands, West Papua (Ref. 90102).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pazon_u2.jpg"", ""Open image"")"
Tetrarogidae,"Richardsonichthys leucogaster","(Richardson, 1848)"," M",native," Richardson's waspfish (English)",,"10.00 cm TL male/unsexed ",,"Recorded from Manado and vicinity; with an Indonesian distribution from N. Sulawesi (Ref. 47567). Anambas Archipelago (Ref. 89611). Also Ref. 48635, 90102.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Rileu_u1.jpg"", ""Open image"")"
Tetrarogidae,"Snyderina yamanokami","Jordan & Starks, 1901"," M",native,,,"24.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: UMMZ 212291 (TGT3192).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Snyam_u1.jpg"", ""Open image"")"
Tetrarogidae,"Tetraroge barbata","(Cuvier, 1829)"," Fr, Br, M",native,,,"10.00 cm TL male/unsexed ",,"Known in Sumatra, Java, Sulawesi, Seram, and Irian Jaya. ","No picture yet."
Tetrarogidae,"Tetraroge nigra","(Cuvier, 1829)"," Fr, Br, M",native,,,"13.50 cm TL male/unsexed ",,"Type localities of Apistus amblycephaloides, Sumatra, Priaman; Apistus amblycephalus, western Sumatra, Padang (Ref. 94476). Reported from Sumatra, Bali, Sulawesi and Moluccas (Ref. 7050).","No picture yet."
Tetrarogidae,"Vespicula trachinoides","(Cuvier, 1829)"," M",native,,,"5.80 cm SL male/unsexed ",,"Known from Sulawesi.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Vetra_u0.jpg"", ""Open image"")"
Tetrarogidae,"Vespicula zollingeri","(Bleeker, 1848)"," M",native,,,,,"Type locality, Bima, Sumbawa I., Lesser Sunda Is. (Ref. 40966). Needs a better reference.","No picture yet."
Thaumatichthyidae,"Thaumatichthys pagidostomus","Smith & Radcliffe, 1912"," M",native,,,"23.90 cm SL female ",,"Type locality: Binang Unang I., 0°04'00""S, 121°36'00""E, Gulf of Tomini, Sulawesi [Celebes] (Ref. 26282).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Thpag_u0.gif"", ""Open image"")"
Tincidae,"Tinca tinca","(Linnaeus, 1758)"," Fr, Br, Fi, Aq, Sp",introduced,,,"70.00 cm SL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Titin_u3.jpg"", ""Open image"")"
Toxotidae,"Toxotes chatareus","(Hamilton, 1822)"," Fr, Br, Fi",native," Sumpit (Malay)",,"40.00 cm SL male/unsexed ",,"Known from Sumatra, Kalimantan, Irian Jaya (Ref. 7050) and Borneo (Ref. 36654).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tocha_u3.jpg"", ""Open image"")"
Toxotidae,"Toxotes jaculatrix","(Pallas, 1767)"," Fr, Br, Fi",native," Archerfish (English)",,"30.00 cm TL male/unsexed ",,"Recorded from Raja Ampat Islands and Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 48636.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tojac_u3.jpg"", ""Open image"")"
Toxotidae,"Toxotes lorentzi","Weber, 1910"," Fr",native,,,"18.00 cm SL male/unsexed ",,"Known from Merauke River in Irian Jaya.","No picture yet."
Toxotidae,"Toxotes microlepis","Günther, 1860"," Fr, Br",native," Puntin (Malay), Sumpit (Malay)",,"15.00 cm SL male/unsexed ","11.631 TL","Found in the Kapuas Lakes area in Kalimantan Barat, Borneo (Ref. 56749). Recorded from Danau Sentarum National Park in the Kapuas basin, Kalimantan Barat, Borneo (Ref. 56749). Also Ref. 27732.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tomic_u0.jpg"", ""Open image"")"
